AAPL,MSFT,AMZN,GOOG,FB,ORCL,INTC,ADBE,CRM,VMW
07 25 2019,07 29 2019,04 11 2019,07 9 2019,08 13 2018,10 22 2018,07 25 2019,01 23 2019,06 10 2019,06 13 2019
02 15 2019,02 4 2019,02 11 2019,06 6 2019,07 26 2018,10 17 2018,06 10 2019,09 20 2018,05 6 2019,11 6 2018
08 30 2018,01 24 2019,08 31 2018,02 19 2019,07 2 2018,05 11 2018,10 18 2018,05 21 2018,04 17 2019,08 27 2018
03 12 2018,09 13 2018,06 28 2018,01 4 2019,01 23 2018,04 30 2018,09 10 2018,04 16 2018,01 14 2019,02 14 2018
01 2 2018,06 18 2018,02 27 2018,08 6 2018,10 16 2017,04 10 2018,08 16 2018,10 18 2017,07 16 2018,11 2 2017
12 11 2017,06 11 2018,01 23 2018,05 14 2018,08 11 2017,02 15 2018,07 12 2018,06 21 2017,03 20 2018,05 15 2017
12 5 2017,06 11 2018,12 19 2017,05 9 2018,07 24 2017,12 19 2017,04 3 2018,11 10 2016,03 12 2018,04 12 2017
11 21 2017,06 11 2018,10 3 2017,03 28 2018,12 28 2016,04 18 2017,03 13 2017,05 3 2016,01 8 2018,04 4 2017
11 9 2017,06 11 2018,07 10 2017,03 21 2018,11 11 2016,04 17 2017,11 4 2016,11 5 2015,01 31 2017,10 5 2016
10 25 2017,06 4 2018,06 16 2017,03 5 2018,09 19 2016,03 10 2017,11 3 2016,06 1 2015,12 13 2016,09 12 2016
10 4 2017,05 22 2018,03 28 2017,01 11 2018,08 5 2016,01 19 2017,09 7 2016,01 28 2015,10 3 2016,06 13 2016
09 29 2017,02 13 2018,01 9 2017,10 10 2017,05 23 2016,11 21 2016,09 5 2016,09 22 2014,09 14 2016,10 14 2015
06 26 2017,01 29 2018,09 20 2016,10 10 2017,03 9 2016,09 20 2016,08 9 2016,07 23 2013,08 15 2016,02 4 2015
05 15 2017,01 3 2018,04 5 2016,09 27 2017,10 5 2015,09 6 2016,05 25 2016,05 28 2013,08 1 2016,11 18 2014
05 10 2017,11 6 2017,02 16 2016,08 16 2017,05 20 2015,07 28 2016,04 5 2016,05 22 2013,07 21 2016,10 29 2014
03 23 2017,10 3 2017,09 25 2015,08 15 2017,03 13 2015,05 2 2016,03 8 2016,12 20 2012,06 1 2016,08 20 2014
02 20 2017,08 15 2017,07 14 2015,07 11 2017,01 16 2015,04 28 2016,01 4 2016,01 16 2012,05 9 2016,03 6 2014
09 22 2016,06 29 2017,04 29 2015,06 9 2017,01 8 2015,04 14 2016,12 28 2015,11 1 2011,04 4 2016,02 24 2014
08 5 2016,05 24 2017,04 10 2015,05 10 2017,01 6 2015,02 22 2016,10 29 2015,10 3 2011,02 19 2016,10 15 2013
01 29 2016,04 18 2017,03 12 2015,03 9 2017,08 8 2014,01 5 2016,10 26 2015,10 3 2011,12 23 2015,07 15 2013
01 28 2016,04 10 2017,01 23 2015,03 8 2017,07 2 2014,12 18 2015,10 2 2015,09 8 2011,12 14 2015,07 1 2013
01 7 2016,01 17 2017,08 25 2014,02 3 2017,06 3 2014,08 20 2015,08 25 2015,07 18 2011,09 2 2015,05 1 2013
11 24 2015,01 13 2017,04 11 2014,01 18 2017,04 24 2014,12 22 2014,08 14 2015,01 18 2011,06 25 2015,04 9 2013
10 5 2015,08 22 2016,02 7 2014,01 5 2017,03 25 2014,09 16 2014,06 16 2015,07 28 2010,05 29 2015,03 5 2013
10 2 2015,08 11 2016,12 30 2013,12 12 2016,02 19 2014,07 31 2014,02 2 2015,10 23 2009,04 1 2015,02 11 2013
09 15 2015,06 16 2016,05 13 2013,11 21 2016,01 8 2014,06 23 2014,01 20 2015,10 1 2009,07 11 2014,07 23 2012
05 28 2015,06 13 2016,03 29 2013,11 7 2016,12 17 2013,06 20 2014,01 2 2015,08 31 2009,07 12 2013,07 2 2012
05 18 2015,05 3 2016,01 24 2013,10 24 2016,10 14 2013,05 15 2014,12 1 2014,,06 7 2013,05 22 2012
04 16 2015,02 24 2016,07 2 2012,10 11 2016,08 12 2013,02 24 2014,08 13 2014,,06 4 2013,04 24 2012
04 15 2015,02 2 2016,03 19 2012,09 8 2016,07 18 2013,01 7 2014,03 25 2014,,05 9 2013,05 31 2011
03 24 2015,01 19 2016,02 2 2012,08 8 2016,04 25 2013,12 20 2013,01 21 2014,,02 6 2013,05 16 2011
02 24 2015,12 21 2015,12 28 2011,07 27 2016,04 23 2013,12 4 2013,11 8 2013,,12 13 2012,04 26 2011
01 21 2015,12 18 2015,11 9 2011,07 12 2016,04 11 2013,11 15 2013,09 30 2013,,09 11 2012,03 8 2011
09 1 2014,11 9 2015,07 28 2011,07 7 2016,03 14 2013,10 23 2013,07 16 2013,,07 9 2012,01 14 2011
07 29 2014,11 5 2015,07 4 2011,07 6 2016,03 8 2013,10 17 2013,07 1 2013,,06 26 2012,08 31 2010
07 25 2014,10 2 2015,11 8 2010,05 2 2016,02 28 2013,05 1 2013,05 31 2013,,06 19 2012,08 31 2010
06 6 2014,09 28 2015,10 1 2010,02 18 2016,01 15 2013,03 25 2013,05 1 2013,,06 4 2012,05 6 2010
05 28 2014,09 11 2015,09 8 2010,11 19 2015,09 4 2012,03 13 2013,04 17 2013,,05 1 2012,02 25 2010
05 2 2014,09 3 2015,06 30 2010,11 6 2015,08 24 2012,12 20 2012,07 13 2012,,12 15 2011,01 12 2010
04 3 2014,08 3 2015,02 3 2010,10 20 2015,07 20 2012,12 18 2012,05 31 2012,,11 14 2011,08 10 2009
02 21 2014,07 20 2015,01 20 2010,10 13 2015,07 16 2012,11 8 2012,04 17 2012,,09 21 2011,
01 6 2014,07 16 2015,07 22 2009,09 30 2015,06 21 2012,09 17 2012,01 23 2012,,08 26 2011,
12 2 2013,06 10 2015,06 16 2009,08 12 2015,06 18 2012,07 30 2012,07 19 2011,,03 30 2011,
12 2 2013,06 2 2015,04 27 2009,07 22 2015,05 21 2012,07 19 2012,05 25 2011,,02 1 2011,
11 26 2013,05 1 2015,,06 2 2015,05 15 2012,07 10 2012,03 17 2011,,01 6 2011,
10 3 2013,04 14 2015,,05 28 2015,05 7 2012,06 5 2012,03 14 2011,,12 21 2010,
10 1 2013,03 26 2015,,05 4 2015,04 13 2012,05 23 2012,01 31 2011,,12 8 2010,
08 28 2013,02 4 2015,,02 24 2015,03 8 2012,03 29 2012,11 15 2010,,09 24 2010,
08 22 2013,01 23 2015,,02 9 2015,02 29 2012,02 9 2012,08 19 2010,,04 21 2010,
08 13 2013,01 20 2015,,02 4 2015,12 2 2011,10 24 2011,08 16 2010,,12 31 2009,
08 1 2013,12 18 2014,,12 17 2014,11 28 2011,10 18 2011,08 19 2009,,,
